PID,wslong,wslat,wsplace
19812, 115.998873, 39.724173, School 2419
9926, 116.120836, 39.925565, School 2165
17009, 116.284123, 40.094823, School 2417
16349, 117.064761, 40.181869, School 2230
11395, 116.606106, 39.848986, School 1983
1367, 116.4903054, 39.7348966, School 2485
4004, 116.228242, 39.805143, School 2191
5397, 116.413689, 39.611148, School 2412
21168, 116.245844, 40.035244, School 2415
14615, 116.421458, 39.826181, School 2399
19019, 116.546325, 40.263072, School 2224
1007, 116.351301, 39.956398, School 2068
15278, 116.2934201, 39.87450578, School 2486
12513, 116.5894658, 39.86715877, School 2479
8062, 116.13865, 40.157696, School 2442
9485, 116.194171, 39.811415, School 2382
14346, 116.194171, 39.811415, School 2382
9962, 116.394888, 39.711732, School 2146
10555, 116.330942, 39.956591, School 2422
4697, 116.455302, 40.098778, School 2208
19171, 116.301909, 39.998638, School 2306
17237, 116.777526, 40.061471, School 2443
20715, 116.2435, 39.955551, School 2138
8467, 116.413676, 39.793057, School 2190
8263, 116.465838, 39.968655, School 2426
4752, 116.323892, 40.09018, School 2133
8659, 116.343262, 39.819683, School 2397
11977, 116.819042, 39.819042, School 2401
12755, 116.310584, 39.717486, School 2434
10663, 116.675235, 39.889969, School 2405
10623, 116.426293, 39.910183, School 2435
17003, 116.478981, 40.417155, School 2158
16319, 116.241645, 39.893496, School 2388
12825, 116.297384, 39.696431, School 2418
12171, 115.915969, 39.68819, School 2403
9341, 116.317255, 39.974313, School 2347
11322, 116.547487, 39.860526, School 2152
20165, 116.4903054, 39.7348966, School 2485
15284, 116.319913, 40.1265, School 2379
19851, 116.194171, 39.811415, School 2382
12413, 116.472898, 40.013438, School 2179
12565, 116.425939, 39.828509, School 2383
295, 116.488036, 39.960696, School 2328
18399, 116.613713, 40.049541, School 2438
4532, 116.551212, 39.819157, School 2101
13715, 116.313767, 40.043864, School 2410
12173, 116.605908, 40.095158, School 2404
14023, 116.406624, 39.989405, School 2409
12995, 116.328647, 39.860125, School 2408
17123, 116.2934201, 39.87450578, School 2486
10439, 116.651074, 40.150029, School 2430
1582, 116.328647, 39.860125, School 2408
698, 116.275406, 40.019793, School 2394
11316, 116.57605, 39.910296, School 2437
53, 116.514567, 39.9009, School 2012
12331, 116.369723, 39.927092, School 2147
19047, 116.424712, 40.029046, School 2153
9978, 116.313767, 40.043864, School 2410
10926, 116.61122, 39.820589, School 2201
12807, 116.297384, 39.696431, School 2418
8209, 116.323007, 40.039737, School 2396
9653, 116.025979, 39.86492, School 2129
12611, 116.560947, 39.947993, School 2271
7702, 116.372894, 39.992647, School 2142
11177, 116.308566, 40.05529, School 2416
132, 116.241645, 39.893496, School 2388
5101, 116.424812, 39.980305, School 2163
12761, 116.319913, 40.1265, School 2379
3064, 116.405118, 39.964932, School 2156
8041, 116.33737, 39.930948, School 2420
1440, 116.7635181, 39.76962905, School 2487
11458, 116.13865, 40.157696, School 2442
20318, 116.203171, 40.153827, School 2374
8266, 116.242654, 40.000578, School 2406
156, 116.328647, 39.860125, School 2408
9242, 116.619453, 39.878124, School 2400
19950, 116.756353, 39.907246, School 2448
9293, 116.279272, 39.931034, School 2227
4344, 116.413689, 39.611148, School 2412
20523, 116.235042, 40.065695, School 2310
10451, 116.372437, 39.814476, School 2411
12163, 116.343262, 39.819683, School 2397
14231, 115.998873, 39.724173, School 2419
5011, 116.371632, 39.648622, School 2445
9818, 116.446928, 39.954114, School 2375
11173, 116.356831, 39.475458, School 2402
18455, 116.025979, 39.86492, School 2129
4414, 116.649031, 39.890779, School 2318
19809, 116.275406, 40.019793, School 2394
11577, 116.426051, 39.950465, School 2390
9687, 116.415479, 39.832816, School 2387
10242, 116.394888, 39.711732, School 2146
18439, 116.434811, 39.928009, School 2167
3316, 116.114895, 40.12994, School 2017
3939, 116.493312, 39.888556, School 2427
