PID,Yearly_electricity,Certainty,District
3042, 2701.3447, 0.4, 11
3732, 2103.6700000000005, 0.6, 11
17511, 2121.6700000000005, 0, 11
7068, 2729.0629000000004, 0.6, 8
5230, 2649.5568000000007, 0, 4
5245, 2649.5568000000007, 0.4, 6
6129, 2713.4426000000008, 0.4, 6
6745, 2702.5660000000003, 0, 6
14715, 3259.3220909090915, 0.4, 3
14580, 2309.9248000000002, 0.2, 2
12764, 2581.6389250000007, 0.4, 4
12318, 2581.6389250000007, 0.4, 3
620, 3596.8490909090915, 0.2, 3
13266, 2662.922900000001, 0.4, 11
7576, 2729.0629000000004, 0, 6
18470, 3764.5958181818182, 0, 10
6360, 2729.0629000000004, 0.2, 11
17401, 2649.5568000000007, 0.2, 11
8423, 2694.6919000000003, 0.6, 8
17789, 3175.338181818182, 0.6, 6
600, 3609.838545454546, 0, 6
5932, 2642.922900000001, 0, 9
3671, 2649.5568000000007, 0, 13
2299, 3214.997272727273, 0.2, 6
7256, 2729.0629000000004, 0.6, 10
11327, 3769.2810909090904, 0.2, 1
7303, 2713.4426000000008, 0, 11
12940, 2581.6389250000007, 0.4, 3
15489, 2704.7467, 0.6, 11
19810, 2653.7167000000004, 0, 5
1300, 2713.4426000000008, 0.2, 8
15409, 2103.6700000000005, 0.4, 4
11856, 2743.7017, 0.6, 11
20950, 2718.117100000001, 0, 4
20828, 2662.922900000001, 0.6, 8
9701, 2274.968875000001, 0.6, 6
20747, 2662.922900000001, 0.4, 6
16948, 2109.6700000000005, 0.2, 3
11824, 2718.117100000001, 0.2, 12
17541, 3763.38, 0.2, 3
20403, 3157.2832613636365, 0.2, 9
15288, 2704.7467, 0.4, 12
13601, 2330.7216000000003, 0.6, 12
6243, 2713.4426000000008, 0.2, 3
17474, 2694.6919000000003, 0.2, 5
7840, 2597.8225000000007, 0.2, 10
9476, 2681.3296000000005, 0, 3
17708, 2103.6700000000005, 0, 4
13831, 3215.5211363636367, 0, 5
15851, 2275.4823600000004, 0.4, 12
2895, 2244.1300750000005, 0.4, 15
15983, 2275.4823600000004, 0.2, 5
5736, 2649.5568000000007, 0.2, 3
6978, 2729.0629000000004, 0, 3
3035, 2729.0629000000004, 0.4, 3
12734, 2642.922900000001, 0.2, 3
11241, 3252.834727272728, 0, 9
5690, 2649.5568000000007, 0.4, 4
17398, 2649.5568000000007, 0.2, 6
11985, 4679.451818181818, 0.4, 11
5758, 2649.5568000000007, 0, 3
4654, 2103.6700000000005, 0.2, 3
7691, 2694.6919000000003, 0, 12
18703, 3400.367581818182, 0, 9
17946, 2309.9248000000002, 0.2, 4
7155, 2713.4426000000008, 0.2, 7
2397, 2837.6156000000005, 0.6, 15
21125, 2655.5056250000002, 0.4, 3
13762, 3212.943863636364, 0, 4
11349, 2654.690400000001, 0, 3
12022, 2718.117100000001, 0.4, 7
13863, 3212.943863636364, 0.4, 6
15739, 2103.6700000000005, 0, 3
13437, 2723.3929000000003, 0, 5
5609, 2649.5568000000007, 0, 11
18751, 2936.0815818181823, 0.2, 3
13518, 2662.922900000001, 0.2, 7
1121, 3763.38, 0.4, 15
15759, 3745.198181818182, 0.4, 10
729, 2704.7467, 0, 15
3254, 3745.198181818182, 0, 14
13455, 2644.4277000000006, 0, 10
333, 2791.5418000000004, 0.4, 4
8249, 2694.6919000000003, 0, 5
17242, 2723.166100000001, 0.2, 11
6330, 2729.0629000000004, 0, 12
5222, 2649.5568000000007, 0, 4
21262, 2649.5568000000007, 0.2, 12
14025, 3885.6698181818188, 0, 12
10327, 2805.525475000001, 0, 10
7913, 2694.6919000000003, 0, 3
8302, 2963.910454545455, 0.2, 5
9001, 2649.5568000000007, 0.2, 12
20725, 2644.4277000000006, 0.4, 6
12924, 2581.6389250000007, 0.6, 6
12122, 2718.117100000001, 0, 16
6591, 2713.4426000000008, 0, 16
17280, 2723.166100000001, 0, 11
3749, 2103.6700000000005, 0.2, 4
411, 3745.198181818182, 0, 4
5613, 2649.5568000000007, 0, 4
16887, 2103.6700000000005, 0.6, 7
423, 3745.198181818182, 0.4, 11
18551, 3900.6010363636365, 0.4, 3
14037, 3732.476727272727, 0.4, 6
5564, 2649.5568000000007, 0.4, 4
