ID,gender,age,income,education,Status,Num_family,Num_child,Num_old,Household_income,House_ownership,Num_cooling_AC,Num_month_cooling,Cool_hr_weekday,Cool_hr_weekend,Temp_summer_day,Temp_summer_night
370,1,4,6,7,2,2,0,0,4,0,2,4,1.5,1.5,3,3
381,1,3,5,7,2,1,0,0,6,1,2,5,1.5,9,5,4
390,0,2,5,7,2,4,0,0,6,1,1,5,4.5,9,4,2
394,1,2,2,7,1,3,1,1,2,0,1,4,9,9,5,4
398,0,2,3,7,2,2,0,0,3,1,2,4,15,15,2,1
400,1,3,6,7,2,2,0,0,4,1,1,4,9,15,1,2
406,0,4,3,7,2,1,0,0,1,1,0,0,0,0,0,0
408,1,2,3,7,1,3,0,0,4,1,1,2,1.5,1.5,3,3
414,1,2,3,9,1,3,0,0,3,1,2,5,1.5,9,1,1
415,1,2,5,7,2,2,0,0,2,0,2,4,4.5,9,3,3
418,0,4,5,7,2,2,0,0,4,1,1,3,9,21,1,1
420,0,3,6,6,2,4,1,1,4,1,1,4,4.5,9,4,2
423,1,2,2,7,2,2,0,0,4,1,1,3,9,9,4,4
426,1,3,4,6,2,1,0,0,2,0,3,4,9,15,3,2
427,1,2,4,7,2,3,0,0,3,1,1,4,9,15,1,1
432,1,2,2,7,1,3,0,0,7,1,2,4,9,15,2,1
435,0,2,1,7,1,6,1,2,5,1,4,4,4.5,9,1,1
437,1,3,5,7,2,1,0,0,4,1,1,3,1.5,9,1,1
438,0,2,3,7,2,3,0,0,4,1,1,2,4.5,15,6,5
440,1,3,5,7,2,3,1,1,4,1,1,3,15,9,2,1
441,1,3,5,7,2,2,0,0,5,1,1,5,15,9,5,5
446,1,2,2,7,2,3,0,0,2,1,1,3,9,15,2,2
447,1,2,6,9,2,1,0,0,2,1,0,0,0,0,0,0
451,0,3,3,6,2,3,0,1,5,1,2,3,15,21,5,4
453,1,2,3,7,1,2,0,1,2,1,1,2,4.5,4.5,5,6
456,1,3,5,6,2,1,0,0,3,1,2,2,9,15,4,3
457,1,1,1,7,1,4,1,0,1,1,1,4,9,15,3,3
460,1,3,5,7,2,3,0,0,3,1,2,6,4.5,4.5,3,2
465,1,3,5,6,2,4,2,0,3,1,2,4,9,15,3,4
470,0,4,7,7,2,3,2,0,6,1,3,3,9,9,2,3
475,1,3,6,7,2,1,0,0,3,0,1,5,4.5,4.5,3,3
485,1,2,2,7,1,3,0,1,1,1,3,3,1.5,9,5,4
490,1,3,7,9,2,3,1,0,4,1,2,3,4.5,9,1,1
493,1,1,1,5,1,3,1,0,2,0,1,4,9,9,4,4
496,1,4,6,7,2,3,1,0,5,1,1,3,4.5,9,1,1
498,0,3,6,7,2,1,1,0,4,0,2,4,4.5,9,3,2
503,0,3,3,6,4,1,0,0,2,0,1,3,1.5,4.5,2,1
504,1,2,6,9,2,2,0,0,4,1,1,3,1.5,4.5,4,1
508,1,3,2,6,2,4,1,2,2,1,1,3,4.5,4.5,5,5
509,1,4,5,7,2,6,1,2,5,1,1,3,9,15,5,5
510,0,3,2,5,4,2,0,0,4,0,2,3,9,21,4,2
512,1,2,3,7,2,6,1,2,7,1,4,4,15,15,5,5
517,1,2,4,7,2,2,0,0,3,0,2,4,4.5,9,1,1
528,0,3,3,6,2,3,0,1,2,1,2,4,1.5,4.5,6,6
539,1,4,5,7,2,4,1,1,3,0,2,4,9,9,2,1
540,1,3,6,7,2,3,1,0,6,1,1,3,9,15,3,3
541,1,4,7,7,2,5,1,2,5,1,3,3,4.5,4.5,1,1
554,1,3,5,7,2,2,0,0,2,0,2,4,4.5,9,5,4
563,0,4,7,7,2,4,2,0,6,1,3,4,9,9,3,2
566,1,3,5,7,2,2,0,0,4,1,2,4,9,15,4,4
568,1,3,4,6,2,2,0,0,2,1,2,5,1.5,4.5,4,5
569,1,2,4,6,4,4,1,0,4,1,2,4,15,21,6,4
572,1,2,6,7,2,4,2,0,3,1,3,5,9,15,4,3
573,1,3,4,7,2,1,0,0,3,0,1,4,9,15,3,3
576,1,2,6,7,2,3,0,0,4,1,3,4,4.5,9,3,2
578,0,3,5,6,2,4,1,1,4,1,1,4,4.5,9,4,3
580,1,2,3,7,2,2,0,0,1,0,1,3,4.5,9,4,2
588,1,3,4,7,2,5,2,1,3,0,1,4,9,9,6,5
590,1,2,3,6,2,3,0,0,3,1,2,5,9,9,4,5
591,1,3,6,7,2,3,1,2,4,1,3,4,9,9,5,4
592,1,2,6,7,2,1,0,0,2,1,0,0,0,0,0,0
595,0,3,6,7,2,4,1,1,4,1,1,4,4.5,9,4,2
604,1,3,4,6,2,1,0,0,2,0,1,2,4.5,1.5,6,5
607,0,2,2,7,2,3,0,0,4,1,2,2,4.5,4.5,5,5
612,1,2,3,7,1,3,0,0,3,1,2,4,1.5,1.5,5,5
614,1,3,6,9,2,5,1,2,4,1,3,4,9,15,3,3
616,0,3,5,6,2,4,1,1,4,1,1,4,4.5,9,3,2
618,1,3,5,7,2,2,0,0,2,0,3,3,4.5,9,3,2
623,0,3,4,6,2,3,0,1,5,1,2,4,9,15,3,3
624,1,4,6,7,2,5,1,2,5,1,2,3,4.5,4.5,1,1
628,1,3,3,7,2,4,1,1,3,1,2,5,9,9,4,4
632,1,5,6,7,2,2,0,0,3,1,1,2,9,15,3,2
638,1,3,4,7,2,5,1,2,2,1,2,6,4.5,9,2,2
639,0,3,3,7,2,1,0,0,1,0,0,0,0,0,0,0
643,0,4,7,9,2,5,1,2,7,1,3,4,9,15,3,2
645,1,4,6,6,2,3,1,0,3,1,0,0,0,0,0,0
646,1,3,5,6,2,3,0,0,5,1,5,2,4.5,9,3,3
647,1,2,2,2,2,6,0,2,2,0,2,3,4.5,4.5,5,5
648,0,4,7,7,2,4,2,0,6,1,2,4,4.5,9,2,3
649,0,3,5,7,2,1,0,0,2,1,1,3,9,9,1,1
659,0,4,3,6,2,3,1,1,4,1,2,3,4.5,9,1,1
661,1,3,4,6,2,2,0,0,3,1,2,5,4.5,4.5,2,1
663,0,3,6,7,2,5,1,2,4,0,2,3,15,21,2,1
667,1,3,4,6,2,4,1,1,4,1,2,3,9,4.5,3,1
668,1,2,4,7,2,1,0,0,3,0,1,4,4.5,9,1,1
669,1,3,5,7,2,3,1,0,4,1,1,4,4.5,15,2,5
670,0,2,2,7,1,1,0,0,2,0,1,3,4.5,9,3,3
678,0,3,7,7,2,1,0,0,3,1,1,3,4.5,9,1,1
679,1,3,5,7,2,4,1,1,4,1,1,4,4.5,9,3,2
681,1,3,3,7,2,3,0,0,2,1,1,3,4.5,9,6,5
685,1,2,2,6,2,3,1,0,2,1,2,4,4.5,15,3,3
688,1,1,1,5,1,4,2,0,2,1,2,4,9,21,4,4
689,1,2,6,7,2,2,0,1,4,1,2,2,1.5,9,4,4
691,1,4,4,5,2,5,1,2,2,0,2,4,4.5,9,1,1
692,0,5,7,7,2,3,1,0,5,1,1,3,9,15,1,1
694,1,4,5,7,2,4,2,0,4,1,2,4,9,9,2,2
695,0,3,4,7,2,4,2,0,3,1,0,0,0,0,0,0
697,1,2,5,7,2,2,0,0,4,1,1,4,4.5,4.5,3,3
698,0,3,7,9,2,2,0,0,5,1,1,3,9,15,3,3
712,1,3,6,7,2,2,0,0,5,1,1,3,1.5,9,1,1
722,1,3,6,7,2,2,0,0,5,1,1,3,1.5,9,1,1
725,1,4,5,6,2,3,1,0,2,1,2,3,1.5,9,2,1
726,1,3,3,7,4,5,1,0,3,0,1,3,4.5,9,5,6
728,0,4,5,7,2,3,1,0,4,1,1,4,9,9,4,4
731,1,2,2,6,1,5,0,0,2,0,3,3,4.5,9,6,6
735,1,2,2,6,1,3,3,0,4,0,2,3,4.5,9,5,4
736,0,3,6,7,2,4,1,1,3,0,1,4,4.5,9,4,2
738,1,4,3,6,2,2,0,0,3,0,2,5,9,9,5,5
740,1,3,2,5,2,3,1,0,3,1,1,3,4.5,1.5,1,1
743,1,2,2,7,2,2,2,2,1,1,2,3,21,21,2,2
745,1,3,6,7,2,2,0,2,5,1,1,3,1.5,9,1,1
748,1,3,5,6,2,3,0,0,3,0,2,3,15,15,3,2
750,1,3,5,7,2,4,1,1,2,1,3,3,4.5,9,3,4
755,1,3,6,7,2,3,1,0,6,1,1,3,9,15,2,3
757,1,2,3,7,2,4,0,1,4,1,1,5,4.5,4.5,5,5
758,1,3,7,7,2,2,0,0,3,0,1,4,4.5,9,6,6
760,1,3,3,7,2,3,1,2,3,1,3,6,9,15,4,4
768,1,3,2,6,2,3,1,0,2,1,1,3,4.5,9,5,5
771,1,3,5,6,2,4,1,1,3,1,1,4,4.5,9,4,2
772,1,3,6,7,2,3,0,0,5,0,2,4,9,15,3,3
779,0,4,4,5,2,8,2,2,3,1,4,3,9,15,1,1
781,1,3,6,7,2,1,0,0,3,0,2,4,4.5,4.5,1,1
782,1,2,6,7,2,1,0,0,2,1,0,0,0,0,0,0
791,0,3,6,7,2,3,1,0,3,1,2,3,9,15,1,1
792,1,2,3,6,2,6,1,1,4,1,2,2,21,21,3,3
794,1,3,7,7,2,2,0,0,5,1,1,4,4.5,4.5,3,3
795,0,3,5,6,2,3,1,0,4,1,2,2,4.5,9,2,3
797,1,3,3,6,2,2,0,0,2,1,1,4,4.5,9,5,5
799,1,3,7,7,2,3,1,0,5,1,2,4,9,4.5,5,5
800,0,5,5,7,2,3,1,0,6,1,2,4,9,9,4,4
801,1,3,7,6,2,2,0,0,4,1,1,3,1.5,1.5,1,1
802,1,3,5,7,2,2,0,0,2,1,2,5,4.5,9,1,1
806,1,3,5,7,2,1,0,0,2,1,2,2,15,15,3,2
807,0,3,6,7,2,4,1,0,6,1,3,3,9,9,2,3
808,1,2,3,7,1,3,0,0,3,1,3,5,9,9,1,3
809,0,3,2,7,2,5,2,0,2,0,3,3,4.5,9,2,1
811,1,2,2,7,2,2,5,2,4,1,2,2,21,21,1,1
816,0,4,5,6,2,5,2,0,3,1,1,6,4.5,4.5,5,4
